site_name,ref_local_x,ref_local_y,ref_local_z,ref_global_x,ref_global_y,ref_global_z,rotate_angle_deg
atrium,4999.4633481,2986.349209,,643502.4,1110470.15,,7
tharangini,4940.654417,3067.17361,,802441.8441,1425851.369,,41.70016132
thecolumns,5692.33,4281.972,,804428.6687,1438036.296,,8.792
samethanahalli,5192.3265099078,3013.4789537674,,803426.2,1437053.65,,5.8916141383
samethanahalli_2,4997.6114194873,2970.1963168816,,803238.49,1436991.12,,5.8916141383
edifice,4967.61725,2999.048287,,633031.47,1160620.81,,0.8961577737
edifice_2,4950.951995,2913.820261,,633016.43,1160536.95,,0.8961577737
elania,5007.1469661104,3045.4183475467,,671330.2,1046546.67,,4.6800578572
elania_3,5004.9122785149,3050.0612447043,,671327.38,1046551.48,,4.6800578572
golden_gate,4754.1293554988,2978.9292086076,,776088.11,1441473.57,,2.5772767298
golden_gate_2,4909.5845534,2895.704643492,,776248.09,1441396.97,,
